Screw_dis,Fingertip_dis,Angle of spread
0.0,-0.008281120766623512,2.5166038295617996
0.16,0.7696338257251033,3.172875893691707
0.32,1.5464058573578665,3.828599494415493
0.48,2.322043447651277,4.4838669170050025
0.64,3.096551233909887,5.138766769744071
0.8,3.869931439090111,5.7933855692911935
0.96,4.642183899394313,6.44780785645316
1.12,5.413306086969127,7.102116304323639
1.28,6.18329312799373,7.756391819330038
1.44,6.952137816430239,8.410713635691783
1.6,7.719830623681117,9.065159403744383
1.76,8.486359704375408,9.719805272540787
1.92,9.251710898491455,10.374725967108027
2.08,10.015867729999743,11.029994860697627
2.24,10.778811402202768,11.685684042344244
2.4,11.54052078993014,12.341864380014403
2.56,12.30097242873625,12.998605579603202
2.72,13.060140501239415,13.655976240014752
2.88,13.817996820729538,14.314043904539135
3.04,14.574510812165885,14.97287510872121
3.2,15.329649490678202,15.632535424897634
3.36,16.083377437678223,16.293089503562115
3.52,16.835656774685745,16.954601111705546
3.68,17.586447134966313,17.617133168261276
3.84,18.33570563307644,18.28074777677491
4.0,19.083386832409868,18.945506255406272
4.16,19.82944271083439,19.611469164358354
4.32,20.573822624510402,20.278696330819933
4.48,21.316473269980055,20.947246871497804
4.64,22.057338644617236,21.617179212806278
4.8,22.796360005528133,22.288551108772268
4.96,23.53347582699603,22.961419656708472
5.12,24.268621756563295,23.63584131069733
5.28,25.001730569848757,24.31187189292379
5.44,25.732732124199703,24.989566602886136
5.6000000000000005,26.460624424670943,25.668111653407905
5.76,27.187173469570286,26.349277990996775
5.92,27.911380327863913,27.032263844003403
6.08,28.63317004326863,27.717128823216225
6.24,29.352457097376917,28.40392503418249
6.4,30.069152815654025,29.092703998545737
6.5600000000000005,30.783165329496672,29.783516715332944
6.72,31.494399477193394,30.476413552628564
6.88,32.20275640074458,31.17144397178953
7.04,32.90813446054034,31.868657376050997
7.2,33.610427716456876,32.56810172280034
7.36,34.309527346819365,33.269824912009724
7.5200000000000005,35.00532074900148,33.9738739278925
7.68,35.69769177449606,34.68029515968487
7.84,36.38652025653666,35.389133894633694
8.0,37.071682986350886,36.10043529041355
8.16,37.75305234742092,36.814243133920364
8.32,38.4304972573005,37.5306006982167
8.48,39.10388271225941,38.24955031717052
8.64,39.773069777488125,38.97113343587175
8.8,40.437915740761525,39.69539067070612
8.96,41.09827388597294,40.42236162490798
9.120000000000001,41.75399350083677,41.15208492337473
9.28,42.40491981806518,41.88459803510277
9.44,43.050894095575856,42.619937412551224
9.6,43.691753570362074,43.35813836435826
9.76,44.32733156102367,44.09923514976916
9.92,44.95745704169468,44.84326043869017
10.08,45.58195518890776,45.59024589071565
10.24,46.20064705216646,46.34022165566583
10.4,46.813349596495925,47.09321639661256
10.56,47.419875911394385,47.849257425969725
10.72,48.02003493546613,48.60837025710501
10.88,48.6136318889172,49.37057895126248
11.040000000000001,49.200467985210494,50.13590578889971
11.200000000000001,49.780340556072034,50.90437108590326
11.36,50.35304327635711,51.675993393009165
11.52,50.918366064659,52.45078918594632
11.68,51.476095314555096,53.22877291779388
11.84,52.02601389546257,54.00995679595407
12.0,52.56790134313228,54.79435081448687
12.16,53.10153388412803,55.581962421814254
12.32,53.62668472564499,56.372796707915164
12.48,54.143124212521855,57.166856231984255
12.64,54.65061983432872,57.96414064710514
12.8,55.14893659453935,58.76464695888031
12.96,55.637836933849115,59.56836869469904
13.120000000000001,56.11708163743877,60.37529715945151
13.280000000000001,56.58642919332844,61.185419691389114
13.44,57.045636697474265,61.99872056544964
13.6,57.4944598678959,62.815180478189426
13.76,57.93265359817467,63.63477679681774
13.92,58.35997181529132,64.45748256909572
14.08,58.77616849646515,65.28326753358404
14.24,59.18099753607392,66.11209714038289
14.4,59.57421297583096,66.94393197342386
14.56,59.955570413705516,67.77872960780756
14.72,60.32482621061868,68.61644189942547
14.88,60.68173879248957,69.45701646690432
15.040000000000001,61.02606885974089,70.30039627928758
15.200000000000001,61.35757997737804,71.14651920084974
15.36,61.6760388913124,71.99531759451361
15.52,61.98121655648494,72.84671917480969
15.68,62.27288819288721,73.70064560390017
15.84,62.55083423860441,74.55701315902414
16.0,62.81484084206832,75.41573220615487
